Date,ios_file_size,ios_all_ratings,ios_current_ratings
19-08-2016 20:10,106,204822,11724
19-08-2016 20:20,106,204822,11724
19-08-2016 20:30,106,204822,11724
19-08-2016 20:40,106,204822,11724
19-08-2016 20:50,106,204822,11724
19-08-2016 21:00,106,204822,11724
19-08-2016 21:10,106,204822,11724
19-08-2016 21:20,106,204822,11724
19-08-2016 21:30,106,204822,11724
19-08-2016 21:40,106,204822,11724
19-08-2016 21:50,106,204822,11724
19-08-2016 22:00,106,204822,11724
19-08-2016 22:10,106,204822,11724
19-08-2016 22:20,106,204822,11724
19-08-2016 22:30,106,204822,11724
19-08-2016 22:40,106,204822,11724
19-08-2016 22:50,106,204822,11724
19-08-2016 23:00,106,204822,11724
19-08-2016 23:10,106,204822,11724
19-08-2016 23:20,106,204822,11899
19-08-2016 23:30,106,204972,11899
19-08-2016 23:40,106,204972,11899
19-08-2016 23:50,106,204972,11899
20-08-2016 00:00,106,204972,11899
20-08-2016 00:10,106,204972,11899
20-08-2016 00:20,106,204972,11899
20-08-2016 00:30,106,204972,11899
20-08-2016 00:40,106,204972,11899
20-08-2016 00:50,106,204972,11899
20-08-2016 01:00,106,204972,11899
20-08-2016 01:10,106,204972,11899
20-08-2016 01:20,106,204972,11899
20-08-2016 01:30,106,204972,11899
20-08-2016 01:40,106,204972,11899
20-08-2016 01:50,106,204972,11899
20-08-2016 02:00,106,204972,11899
20-08-2016 02:10,106,204972,11899
20-08-2016 02:20,106,204972,11899
20-08-2016 02:30,106,204972,11899
20-08-2016 02:40,106,204972,11899
20-08-2016 02:50,106,204972,11899
20-08-2016 03:00,106,204972,11899
20-08-2016 03:10,106,204972,11899
20-08-2016 03:20,106,204972,11899
20-08-2016 03:30,106,204972,11899
20-08-2016 03:40,106,204972,11899
20-08-2016 03:50,106,204972,11899
20-08-2016 04:00,106,204972,11899
20-08-2016 04:10,106,204972,11899
20-08-2016 04:20,106,204972,11899
20-08-2016 04:30,106,204972,11899
20-08-2016 04:40,106,204972,11899
20-08-2016 04:50,106,204972,11899
20-08-2016 05:00,106,204972,11899
20-08-2016 05:10,106,204972,11899
20-08-2016 05:20,106,204972,11899
20-08-2016 05:30,106,204972,11899
20-08-2016 05:40,106,204972,11899
20-08-2016 05:50,106,204972,11899
20-08-2016 06:00,106,204972,11899
20-08-2016 06:10,106,204972,11899
20-08-2016 06:20,106,204972,11899
20-08-2016 06:30,106,204972,11899
20-08-2016 06:40,106,204972,11899
20-08-2016 06:50,106,204972,11899
20-08-2016 07:00,106,204972,11899
20-08-2016 07:10,106,204972,11899
20-08-2016 07:20,106,204972,11899
20-08-2016 07:30,106,204972,11899
20-08-2016 07:40,106,204972,11899
20-08-2016 07:50,106,204972,11899
20-08-2016 08:00,106,205128,12074
20-08-2016 08:10,106,205128,12074
20-08-2016 08:20,106,205128,12074
20-08-2016 08:30,106,205128,12074
20-08-2016 08:40,106,205128,12074
20-08-2016 08:50,106,205128,12074
20-08-2016 09:00,106,205128,12074
20-08-2016 09:10,106,205128,12074
20-08-2016 09:20,106,205128,12074
20-08-2016 09:30,106,205128,12074
20-08-2016 09:40,106,205128,12074
20-08-2016 09:50,106,205128,12074
20-08-2016 10:00,106,205128,12074
20-08-2016 10:10,106,205128,12074
20-08-2016 10:20,106,205128,12074
20-08-2016 10:30,106,205128,12074
20-08-2016 10:40,106,205128,12074
