Unnamed: 0,android_total_ratings,ios_file_size,ios_current_ratings,ios_all_ratings,android_avg_rating,android_rating_1,android_rating_4,android_rating_5,android_rating_2,android_rating_3,android_file_size
7/22/2016 12:50,1402647,110,8713,110258,3.9,216245,183761,796129,77211,129301,58
7/22/2016 13:00,1402647,110,8713,110258,3.9,216245,183761,796129,77211,129301,58
7/22/2016 13:10,1402647,110,8713,110258,3.9,216245,183761,796129,77211,129301,58
7/22/2016 13:20,1402647,110,8713,110258,3.9,216245,183761,796129,77211,129301,58
7/22/2016 13:30,1402647,110,8713,110258,3.9,216245,183761,796129,77211,129301,58
7/22/2016 13:40,1402647,110,8713,110258,3.9,216245,183761,796129,77211,129301,58
7/22/2016 13:50,1402647,110,8713,110258,3.9,216245,183761,796129,77211,129301,58
7/22/2016 14:00,1402647,110,8713,110258,3.9,216245,183761,796129,77211,129301,58
7/22/2016 14:10,1402647,110,8713,110258,3.9,216245,183761,796129,77211,129301,58
7/22/2016 14:20,1402647,110,8713,110258,3.9,216245,183761,796129,77211,129301,58
7/22/2016 14:30,1402647,110,8713,110258,3.9,216245,183761,796129,77211,129301,58
7/22/2016 14:40,1402647,110,8713,110258,3.9,216245,183761,796129,77211,129301,58
7/22/2016 14:50,1402647,110,8713,110258,3.9,216245,183761,796129,77211,129301,58
7/22/2016 15:00,1402647,110,8713,110625,3.9,216245,183761,796129,77211,129301,58
7/22/2016 15:10,1402647,110,9116,110625,3.9,216245,183761,796129,77211,129301,58
7/22/2016 15:20,1402647,110,9116,110625,3.9,216245,183761,796129,77211,129301,58
7/22/2016 15:30,1402647,110,9116,110625,3.9,216245,183761,796129,77211,129301,58
7/22/2016 15:40,1402647,110,9116,110625,3.9,216245,183761,796129,77211,129301,58
7/22/2016 15:50,1402647,110,9116,110625,3.9,216245,183761,796129,77211,129301,58
7/22/2016 16:00,1402647,110,9116,110625,3.9,216245,183761,796129,77211,129301,58
7/22/2016 16:10,1414942,110,9116,110625,3.9,218000,185404,803463,77670,130405,58
7/22/2016 16:20,1414942,110,9116,110625,3.9,218000,185404,803463,77670,130405,58
7/22/2016 16:30,1414942,110,9116,110625,3.9,218000,185404,803463,77670,130405,58
7/22/2016 16:40,1414942,110,9116,110625,3.9,218000,185404,803463,77670,130405,58
7/22/2016 16:50,1414942,110,9116,110625,3.9,218000,185404,803463,77670,130405,58
7/22/2016 17:00,1414942,110,9116,110625,3.9,218000,185404,803463,77670,130405,58
7/22/2016 17:10,1414942,110,9116,110625,3.9,218000,185404,803463,77670,130405,58
7/22/2016 17:20,1414942,110,9116,110625,3.9,218000,185404,803463,77670,130405,58
7/22/2016 17:30,1414942,110,9116,110625,3.9,218000,185404,803463,77670,130405,58
7/22/2016 17:40,1414942,110,9116,110625,3.9,218000,185404,803463,77670,130405,58
7/22/2016 17:50,1414942,110,9116,110625,3.9,218000,185404,803463,77670,130405,58
7/22/2016 18:00,1414942,110,9116,110625,3.9,218000,185404,803463,77670,130405,58
