,Unnamed: 0,android_total_ratings,android_avg_rating,android_file_size,android_rating_4,android_rating_5,android_rating_2,android_rating_3,android_rating_1
227,2016-07-22 13:50:00,1402647,3.9,58.0,183761,796129,77211,129301,216245
228,2016-07-22 14:00:00,1402647,3.9,58.0,183761,796129,77211,129301,216245
229,2016-07-22 14:10:00,1402647,3.9,58.0,183761,796129,77211,129301,216245
230,2016-07-22 14:20:00,1402647,3.9,58.0,183761,796129,77211,129301,216245
231,2016-07-22 14:30:00,1402647,3.9,58.0,183761,796129,77211,129301,216245
232,2016-07-22 14:40:00,1402647,3.9,58.0,183761,796129,77211,129301,216245
233,2016-07-22 14:50:00,1402647,3.9,58.0,183761,796129,77211,129301,216245
234,2016-07-22 15:00:00,1402647,3.9,58.0,183761,796129,77211,129301,216245
235,2016-07-22 15:10:00,1402647,3.9,58.0,183761,796129,77211,129301,216245
236,2016-07-22 15:20:00,1402647,3.9,58.0,183761,796129,77211,129301,216245
237,2016-07-22 15:30:00,1402647,3.9,58.0,183761,796129,77211,129301,216245
238,2016-07-22 15:40:00,1402647,3.9,58.0,183761,796129,77211,129301,216245
239,2016-07-22 15:50:00,1402647,3.9,58.0,183761,796129,77211,129301,216245
240,2016-07-22 16:00:00,1402647,3.9,58.0,183761,796129,77211,129301,216245
241,2016-07-22 16:10:00,1414942,3.9,58.0,185404,803463,77670,130405,218000
242,2016-07-22 16:20:00,1414942,3.9,58.0,185404,803463,77670,130405,218000
243,2016-07-22 16:30:00,1414942,3.9,58.0,185404,803463,77670,130405,218000
244,2016-07-22 16:40:00,1414942,3.9,58.0,185404,803463,77670,130405,218000
245,2016-07-22 16:50:00,1414942,3.9,58.0,185404,803463,77670,130405,218000
246,2016-07-22 17:00:00,1414942,3.9,58.0,185404,803463,77670,130405,218000
247,2016-07-22 17:10:00,1414942,3.9,58.0,185404,803463,77670,130405,218000
248,2016-07-22 17:20:00,1414942,3.9,58.0,185404,803463,77670,130405,218000
249,2016-07-22 17:30:00,1414942,3.9,58.0,185404,803463,77670,130405,218000
250,2016-07-22 17:40:00,1414942,3.9,58.0,185404,803463,77670,130405,218000
251,2016-07-22 17:50:00,1414942,3.9,58.0,185404,803463,77670,130405,218000
252,2016-07-22 18:00:00,1414942,3.9,58.0,185404,803463,77670,130405,218000
253,2016-07-22 18:10:00,1414942,3.9,58.0,185404,803463,77670,130405,218000
254,2016-07-22 18:20:00,1414942,3.9,58.0,185404,803463,77670,130405,218000
255,2016-07-22 18:30:00,1414942,3.9,58.0,185404,803463,77670,130405,218000
256,2016-07-22 18:40:00,1414942,3.9,58.0,185404,803463,77670,130405,218000
257,2016-07-22 18:50:00,1414942,3.9,58.0,185404,803463,77670,130405,218000
258,2016-07-22 19:00:00,1414942,3.9,58.0,185404,803463,77670,130405,218000
259,2016-07-22 19:10:00,1414942,3.9,58.0,185404,803463,77670,130405,218000
260,2016-07-22 19:20:00,1414942,3.9,58.0,185404,803463,77670,130405,218000
261,2016-07-22 19:30:00,1414942,3.9,58.0,185404,803463,77670,130405,218000
262,2016-07-22 19:40:00,1414942,3.9,58.0,185404,803463,77670,130405,218000
263,2016-07-22 19:50:00,1414942,3.9,58.0,185404,803463,77670,130405,218000
264,2016-07-22 20:00:00,1414942,3.9,58.0,185404,803463,77670,130405,218000
265,2016-07-22 20:10:00,1424989,3.9,58.0,186871,809289,78175,131403,219251
266,2016-07-22 20:20:00,1424989,3.9,58.0,186871,809289,78175,131403,219251
267,2016-07-22 20:30:00,1424989,3.9,58.0,186871,809289,78175,131403,219251
268,2016-07-22 20:40:00,1424989,3.9,58.0,186871,809289,78175,131403,219251
269,2016-07-22 20:50:00,1424989,3.9,58.0,186871,809289,78175,131403,219251
270,2016-07-22 21:00:00,1424989,3.9,58.0,186871,809289,78175,131403,219251
271,2016-07-22 21:10:00,1424989,3.9,58.0,186871,809289,78175,131403,219251
272,2016-07-22 21:20:00,1424989,3.9,58.0,186871,809289,78175,131403,219251
273,2016-07-22 21:30:00,1424989,3.9,58.0,186871,809289,78175,131403,219251
274,2016-07-22 21:40:00,1424989,3.9,58.0,186871,809289,78175,131403,219251
275,2016-07-22 21:50:00,1424989,3.9,58.0,186871,809289,78175,131403,219251
276,2016-07-22 22:00:00,1424989,3.9,58.0,186871,809289,78175,131403,219251
277,2016-07-22 22:10:00,1424989,3.9,58.0,186871,809289,78175,131403,219251
278,2016-07-22 22:20:00,1424989,3.9,58.0,186871,809289,78175,131403,219251
279,2016-07-22 22:30:00,1424989,3.9,58.0,186871,809289,78175,131403,219251
280,2016-07-22 22:40:00,1424989,3.9,58.0,186871,809289,78175,131403,219251
281,2016-07-22 22:50:00,1424989,3.9,58.0,186871,809289,78175,131403,219251
282,2016-07-22 23:00:00,1424989,3.9,58.0,186871,809289,78175,131403,219251
283,2016-07-22 23:10:00,1424989,3.9,58.0,186871,809289,78175,131403,219251
284,2016-07-22 23:20:00,1424989,3.9,58.0,186871,809289,78175,131403,219251
